,ann_return,cagr,ann_vol,sharpe,sortino,calmar,max_drawdown,total_return,cost_drag_ann,avg_turnover,n_periods,n_rebalances
black_litterman+convex,0.17719197650761012,0.1763067646109977,0.17015196246162184,1.0413748624708115,1.337881742969035,0.596646696169152,-0.29697973297312186,3.325551788683474,0.0027020764589369695,0.6586662470069868,469.0,37.0
sample+convex,0.12350590314998375,0.1226790303559584,0.12393447612415294,0.9965419390344632,1.4955847998751188,0.6972064202664242,-0.1771439555917863,1.8396639753922819,0.0011430948728106821,0.2786442283514649,469.0,37.0
niw_predictive+convex,0.12333647693643887,0.12251199245766697,0.12377053940191225,0.9964930065945348,1.4958532355493268,0.6990907871292319,-0.17642412002439856,1.835855626024741,0.0011388287331056124,0.2776043013651396,469.0,37.0
bayes_stein+convex,0.12258844529222246,0.12166913864740247,0.12379413180668199,0.990260551959423,1.475628594882251,0.6895109528186886,-0.17779042492521202,1.8167083194755418,0.001145003099683517,0.2791093834467499,469.0,37.0
ledoit_wolf+convex,0.12338918915190324,0.12230618953220129,0.12568234948613824,0.981754316786639,1.470122871579288,0.6621372091877754,-0.18634987951101734,1.8311697053987719,0.001130825528993587,0.27565341637109075,469.0,37.0
bayes_stein+gp_bayesopt,0.13104817553645892,0.129237164955055,0.13701313211542973,0.9564643440604985,1.4051821612895372,0.6236002729527775,-0.21014771997443082,1.9928266776822294,0.0015146257011040554,0.3692096953314925,469.0,37.0
sample+gp_bayesopt,0.12954082610491946,0.127024144710977,0.14039887694808278,0.9226628369172892,1.3932061700830396,0.7708704059124872,-0.16804488161869524,1.9403409864506886,0.0017405189319921188,0.42427410556357165,469.0,37.0
equal_weight,0.1439706294064925,0.14056389734440633,0.15673226798039286,0.9185768269779849,1.3007688727864304,0.5882366375359094,-0.24474951102940046,2.274726540393942,0.0004292171759502361,0.1046272637841249,469.0,37.0
black_litterman+gp_bayesopt,0.16089440558268905,0.15626412025472414,0.1758707129584373,0.9148447906770725,1.2216737973983098,0.5526638281128808,-0.29112526892175505,2.7044699812215547,0.003438253537818625,0.8381189756948723,469.0,37.0
ledoit_wolf+gp_bayesopt,0.12551013364537084,0.12222136485712176,0.14216953405325636,0.8828201800137788,1.316786097403248,0.5279159677475688,-0.23774642426687398,1.8292403393189716,0.0015925863618309055,0.3882136193860093,469.0,37.0
niw_predictive+gp_bayesopt,0.12535481347838767,0.121929373401098,0.1428566281862091,0.8774868556675693,1.282568520125438,0.5537399704064991,-0.226378481196445,1.8226078294102517,0.0017099060898388974,0.41681182751270907,469.0,37.0
ledoit_wolf+min_variance,0.0644500303447356,0.060993329388019824,0.10201713358355831,0.6317569223991877,0.8472973999399007,0.37363989899886363,-0.17249236635975973,0.705722409046571,0.0005377094971836943,0.1310736768082895,469.0,37.0
black_litterman+min_variance,0.0643879949128077,0.060919722548557376,0.10208646331868583,0.6307202034397656,0.8451646112142509,0.372366696777354,-0.17291555735261321,0.704655413598331,0.0005351255320194259,0.13044380172407385,469.0,37.0
niw_predictive+min_variance,0.062319837903904524,0.05871919399694581,0.10217517573099928,0.609931301395326,0.8107093417444365,0.3541553721598183,-0.17596750692738805,0.6730296341503836,0.0006027210293970964,0.14692108252975042,469.0,37.0
sample+min_variance,0.0621402238393987,0.05852517794434009,0.10221225807196486,0.607952754508637,0.8077624947108869,0.3502592925056066,-0.17741206348837701,0.6702664430759842,0.0006066287167048184,0.14787363208657084,469.0,37.0
bayes_stein+min_variance,0.06212574911613237,0.058509879219358796,0.10221215313445228,0.6078117641686962,0.8075868809761672,0.3501799672038964,-0.1774109170555691,0.6700487301911295,0.0006059374632591055,0.14770513007718958,469.0,37.0
