,sharpe,sharpe_ci_low,sharpe_ci_high,deflated_sharpe,sharpe_vs_benchmark,p_ledoit_wolf,p_jobson_korkie
black_litterman+convex,1.0413748624708112,0.487507340109733,1.660157628038319,0.9823863512642922,0.12292915996744237,0.5203333333333333,0.5163180376259561
sample+convex,0.996541939034463,0.42151338676269823,1.5975209301339959,0.9802424952837533,0.07804836366808368,0.698,0.7055638041050563
niw_predictive+convex,0.9964930065945349,0.4223414664648203,1.597297426760621,0.9802389949697481,0.07799937897780422,0.6966666666666667,0.7053302610094989
bayes_stein+convex,0.9902605519594229,0.41310518406582936,1.592911470421211,0.9792042651880408,0.07176026929046538,0.716,0.7251530582124907
ledoit_wolf+convex,0.9817543167866389,0.40759635088067836,1.5817505763304387,0.9782270108670661,0.06324495110903598,0.7416666666666667,0.7539197032583707
bayes_stein+gp_bayesopt,0.9564643440604983,0.3734847143270276,1.5753697110888263,0.9738132067262065,0.03792797359919957,0.843,0.8562548124961926
sample+gp_bayesopt,0.9226628369172891,0.3696098362546126,1.4909582461102708,0.9679930824671056,0.004090373005084637,0.9783333333333334,0.984055289537782
equal_weight,0.9185768269779848,0.35754665558166043,1.5724662693845455,0.9651788914160231,,,
black_litterman+gp_bayesopt,0.9148447906770724,0.356316061192418,1.547118210783811,0.9632549443391767,-0.0037360213915311946,0.985,0.9846487910519293
ledoit_wolf+gp_bayesopt,0.8828201800137787,0.3025657171158578,1.4850289876378555,0.9586706233935058,-0.0357948281250727,0.8633333333333333,0.8614513194305733
niw_predictive+gp_bayesopt,0.8774868556675692,0.2975833297739751,1.4832003649138787,0.9566526108770884,-0.04113384742682486,0.8363333333333334,0.8385852907204387
ledoit_wolf+min_variance,0.6317569223991876,0.0617073543398182,1.2613346599064799,0.8349500231207047,-0.28712617258338247,0.092,0.05891206988107719
black_litterman+min_variance,0.6307202034397656,0.062343664882538945,1.2637870933279616,0.8341388476648296,-0.2881639985574919,0.091,0.05729597069812085
niw_predictive+min_variance,0.6099313013953259,0.04616075822690124,1.24644725309569,0.8185188799935279,-0.3089750991155111,0.07866666666666666,0.05237503014277843
sample+min_variance,0.6079527545086368,0.045503662712252015,1.2456630976801693,0.8170024570144654,-0.31095575870636505,0.078,0.051726271231203
bayes_stein+min_variance,0.6078117641686961,0.045526234911369916,1.245432640950806,0.8168938436006661,-0.3110968995966316,0.078,0.051608122296469286
